Chapter,Title
1,Joseph Joestar of New York
2,Joseph Joestar of New York
3,Joseph Joestar of New York
4,Straizo vs. Joseph
5,Straizo vs. Joseph
6,Straizo vs. Joseph
7,Straizo vs. Joseph
8,Straizo vs. Joseph
9,The Pillar Man
10,The Pillar Man, Santana
11,The Pillar Man, Santana
12,The Pillar Man, Santana
13,The Pillar Man, Santana
14,The Pillar Man, Santana
15,The Pillar Man, Santana
16,The Pillar Man, Santana
17,The Pillar Man, Santana
18,The Pillar Man, Santana
19,Joseph Joestar of Rome
20,The Red Stone of Aja
21,Ultimate Warriors from Ancient Times
22,Ultimate Warriors from Ancient Times
23,Ultimate Warriors from Ancient Times
24,Ultimate Warriors from Ancient Times
25,Ultimate Warriors from Ancient Times
26,An Engagement with Death: The Wedding Ring
27,Hamon Teacher Lisa Lisa
28,Hamon Teacher Lisa Lisa
29,Hamon Teacher Lisa Lisa
30,Hamon Teacher Lisa Lisa
31,Hamon Teacher Lisa Lisa
32,Hamon Teacher Lisa Lisa
33,Go! Hamon Master
34,Flame Mode Esidisi
35,Flame Mode Esidisi
36,Flame Mode Esidisi
37,The Remains Lurk
38,The Remains Lurk
39,Stroheim's Unit Strikes Back
40,Stroheim's Unit Strikes Back
41,Stroheim's Unit Strikes Back
42,Light Mode Kars
43,Light Mode Kars
44,Caesar: A Lonely Youth
45,Caesar: A Lonely Youth
46,Caesar: A Lonely Youth
47,Caesar: A Lonely Youth
48,Caesar: A Lonely Youth
49,Caesar: A Lonely Youth
50,Climb Out of the Fortified Hotel
51,The Wind, the Chariot, and Wamuu
52,The Wind, the Chariot, and Wamuu
53,The Wind, the Chariot, and Wamuu
54,The Wind, the Chariot, and Wamuu
55,The Wind, the Chariot, and Wamuu
56,The Wind, the Chariot, and Wamuu
57,The Wind, the Chariot, and Wamuu
58,The Wind, the Chariot, and Wamuu
59,The Wind, the Chariot, and Wamuu
60,The Warrior Returns to the Wind
61,The Bond That Binds Lisa Lisa and JoJo
62,The Bond That Binds Lisa Lisa and JoJo
63,JoJo: The Final Hamon
64,JoJo: The Final Hamon
65,Kars the Superbeing Is Born
66,Kars the Superbeing Is Born
67,Joseph's Final Gamble
68,The Man Who Became a God
69,The Man Who Crossed the Atlantic
