Episode,Title,Volume,Year,Date,Chapter,Arc,Author
1,Black Swordsman,1,1989,1989-10-01,Black Swordsman,Black Swordsman,Kentarou Miura
2,The Brand,1,1990,1990-01-01,Black Swordsman,Black Swordsman,Kentarou Miura
3,Guardian Angels of Desire,1,1990,1990-09-01,Black Swordsman,Black Swordsman,Kentarou Miura
4,Guardian Angels of Desire,2,1990,1990-11-01,Black Swordsman,Black Swordsman,Kentarou Miura
5,Guardian Angels of Desire,2,1990,1991-01-01,Black Swordsman,Black Swordsman,Kentarou Miura
6,Guardian Angels of Desire,3,1991,1991-03-01,Black Swordsman,Black Swordsman,Kentarou Miura
7,Guardian Angels of Desire,3,1991,1991-04-01,Black Swordsman,Black Swordsman,Kentarou Miura
8,Guardian Angels of Desire,3,1991,1991-05-01,Black Swordsman,Black Swordsman,Kentarou Miura
9,Golden Age,3,1991,1991-08-01,Golden Age,Golden Age,Kentarou Miura
10,Golden Age,4,1991,1991-09-01,Golden Age,Golden Age,Kentarou Miura
11,Golden Age,4,1991,1991-10-01,Golden Age,Golden Age,Kentarou Miura
12,Golden Age,4,1991,1991-11-01,Golden Age,Golden Age,Kentarou Miura
13,Golden Age,4,1991,1991-12-01,Golden Age,Golden Age,Kentarou Miura
14,Golden Age,4,1992,1992-01-01,Golden Age,Golden Age,Kentarou Miura
15,Golden Age,5,1992,1992-02-01,Golden Age,Golden Age,Kentarou Miura
16,Golden Age,5,1992,1992-03-01,Golden Age,Golden Age,Kentarou Miura
17,Sword Wind,5,1992,1992-10-09,Golden Age,Golden Age,Kentarou Miura
18,Nosferatu Zodd,5,1992,1992-10-23,Golden Age,Golden Age,Kentarou Miura
19,Nosferatu Zodd,5,1992,1992-11-13,Golden Age,Golden Age,Kentarou Miura
20,Nosferatu Zodd,5,1992,1992-11-27,Golden Age,Golden Age,Kentarou Miura
21,Nosferatu Zodd,5,1992,1992-12-11,Golden Age,Golden Age,Kentarou Miura
22,Sword Master,5,1992,1992-12-25,Golden Age,Golden Age,Kentarou Miura
23,Sword Master,6,1993,1993-01-08,Golden Age,Golden Age,Kentarou Miura
24,Assassin,6,1993,1993-01-22,Golden Age,Golden Age,Kentarou Miura
25,Assassin,6,1993,1993-02-12,Golden Age,Golden Age,Kentarou Miura
26,Assassin,6,1993,1993-03-12,Golden Age,Golden Age,Kentarou Miura
27,Assassin,6,1993,1993-03-26,Golden Age,Golden Age,Kentarou Miura
28,Precious Thing,6,1993,1993-04-09,Golden Age,Golden Age,Kentarou Miura
