Stage,Title,Volume,Book
1,Angel Attack,1,1
2,Reunion,1,1
3,"Unit-01, Lift Off",1,1
4,Silence,1,1
5,Angel Fire,1,1
6,I Cry,1,1
7,Closing Hearts,2,1
8,Shinji's Mood,2,1
9,The Trials of a True Fan,2,1
10,Shōnen and Knife,2,1
11,Third Child Wandering,2,1
12,Fumbling Towards Kindness,2,1
13,White Scars,3,1
14,The Warped Room,3,1
15,What Her Crimson Eyes Believe In,3,1
16,Abandoned Memories,3,1
17,The Night Before Battle,3,1
18,Blood Battle,3,1
19,The Moon Inside the Darkness,3,1
20,Asuka Comes to Japan,4,2
21,The Uninvited,4,2
22,Asuka Attacks,4,2
23,"Try, Try Again",4,2
24,Dissonance,4,2
25,Shall We Dance?,4,2
26,"One Moment, One Heart",4,2
27,The Party,5,2
28,Follow Back Along Your Scar,5,2
29,Cenotaph,5,2
30,Catch the G-Shock!,5,2
31,NERV Blackout,5,2
32,The Abyss of Truth,5,2
33,Aquarium,5,2
34,The Fourth Child,6,2
35,"Light, Then Shadow",6,2
36,Confessions,6,2
37,The Gift,6,2
38,Ambush,6,2
39,The Dummy System,6,2
40,Staining the Twilight Black,6,2
41,Fist,7,3
42,Ashen Skies,7,3
43,Cross-Examination,7,3
44,Atonement,7,3
45,A Man's Battle,7,3
46,The Awakening,7,3
47,The Awakening,7,3
48,Eradication,7,3
49,…Kiss,8,3
50,Into the Heart…,8,3
51,Mother,8,3
52,Flashback,8,3
53,A Giant Made of Light,8,3
54,The Birth of Nerv,8,3
55,Message,8,3
56,Of Jealousy,8,3
57,The Fifth Child,9,3
58,Rejection I,9,3
59,Pride,9,3
60,Doll,9,3
61,The Spear of Longinus,9,3
62,Distance,9,3
63,Returning Fire,9,3
64,Tears,10,4
65,I Want to Become One,10,4
66,Without Reaching Your Heart,10,4
67,Twisted Night,10,4
68,Mixing,10,4
69,Tainted Blood,10,4
70,A Gathering of Nothingness,10,4
71,Descendant of Adam,11,4
72,The Last Messenger,11,4
73,Reaching the Boundary,11,4
74,Memories Within My Palm,11,4
75,Broken Heart,11,4
76,Final Enemy,11,4
77,Genocide,12,4
78,Father and Child,12,4
79,The Promised Time,12,4
80,Encounter,12,4
81,Enemy from the Sky,12,4
82,The Last Instruction,12,4
83,"Call and Response",12,4
84,Calling,13,5
85,Betrayal,13,5
86,The Ceremony Begins,13,5
87,Rejection II,13,5
88,Black Moon,13,5
89,Face-to-Face,13,5
90,Memories of Summer,13,5
91,Where Light Returns,14,6
92,Birthday,14,6
93,Sea of Life,14,6
94,Palms,14,6
95,Thank you ∞ Goodbye,14,6
96,The Journey Begins,14,6
97,Eden in Summer,14,6
