Chapter,Title
1,Prologue
2,Dio Brando the Invader
3,Dio Brando the Invader
4,Dio Brando the Invader
5,Dio Brando the Invader
6,A Letter from the Past
7,A Letter from the Past
8,The Stone Mask
9,The Stone Mask
10,The Stone Mask
11,The Stone Mask
12,Youth with Dio
13,Youth with Dio
14,Youth with Dio
15,Youth with Dio
16,Youth with Dio
17,The Birth of DIO
18,Jack the Ripper and Zeppeli the Strange
19,Jack the Ripper and Zeppeli the Strange
20,Jack the Ripper and Zeppeli the Strange
21,Jack the Ripper and Zeppeli the Strange
22,Jack the Ripper and Zeppeli the Strange
23,Hamon Overdrive
24,Hamon Overdrive
25,Hamon Overdrive
26,Tarkus and the Dark Knight Blueford
27,Tarkus and the Dark Knight Blueford
28,Tarkus and the Dark Knight Blueford
29,Tarkus and the Dark Knight Blueford
30,Sleep as a Hero
31,The Knights’ Ruins
32,The Medieval Knights’ Training Ground for Murder
33,Pluck for Tomorrow and the Successor
34,Pluck for Tomorrow and the Successor
35,Pluck for Tomorrow and the Successor
36,The Three from a Faraway Land
37,The Three from a Faraway Land
38,The Three from a Faraway Land
39,"Fire and Ice, Jonathan and Dio"
40,"Fire and Ice, Jonathan and Dio"
41,"Fire and Ice, Jonathan and Dio"
42,"Fire and Ice, Jonathan and Dio"
43,"Fire and Ice, Jonathan and Dio"
44,"Fire and Ice, Jonathan and Dio"
